Main Category	Main Category	Text Relation	Medium	Medium	Sub Category	Sub Category	Formal Argument	Formal Argument	Direction	Relation	RelationGenette
System	Segment	2	Text	Text	Text genre	Text passage	Sonnet	Shakespeare_Sonnet-18	>	parallels	
System	Segment	1	Text	Music	Text genre	Sequence of music	Ode	Beethoven_9th-symphony-4th-movement	<	alludes/parallels	
System	Segment	1	Text	Music	Text genre	Sequence of music	Dialectic (literary argument, philosophical genre)	Zappa_Eat That Question, creshendo part	<	parallels	
System	Segment	1	Text	Art	Text genre	Art section	Passion story	Bruegel_The-crucifixion-of-Christ	<	alludes/parallels	
System	Segment	1	Music	Text	Music genre	Text passage	Passion	Passon story of Jesus	>	quotes/alludes	
System	Segment	0	Music	Music	Music genre	Sequence of music	Affect formula	small-second-down (sigh motif)	<	quotes/alludes	
System	Segment	0	Music	Art	Music genre	Art section					
System	Segment	1	Art	Text	Art genre	Text passage	Images of the Virgin Mary	Bible passages about Mary	>	alludes/parallels	
System	Segment	1	Art	Text	Art genre	Text passage	Church crosses	Lucase:23	>	alludes/parallels	
System	Segment	0	Art	Music	Art genre	Sequence of music					
System	Segment	0	Art	Art	Art genre	Art section					
